condition_size,model_hidden_size,model_n_blocks,model_act_norm,feature_network_hidden_size,feature_network_hidden_layers,feature_network_dropout,val_loss_upper_bound,configuration_name,val_loss_mean,val_loss_std
424,146,10,True,309,6,0.202,,424_146_10_True_309_6_0.20216911190275677,,
494,108,28,False,765,16,0.477,-23.269,494_108_28_False_765_16_0.4768383411360756,-24.019893646240234,0.7508740039826493
807,247,27,True,1663,4,0.184,-7.918,807_247_27_True_1663_4_0.183906800378947,-11.59862232208252,3.680971897733545
505,208,23,True,494,13,0.326,-41.24,505_208_23_True_494_13_0.32550896917789723,-45.030775705973305,3.79097006999863
2032,223,26,False,506,11,0.287,-31.557,2032_223_26_False_506_11_0.287468140245276,-32.64192199707031,1.0851116313435554
157,244,13,False,1760,3,0.339,-22.08,157_244_13_False_1760_3_0.3390569194460288,-23.201772689819336,1.1217751154012634
1343,211,26,True,1203,15,0.347,,1343_211_26_True_1203_15_0.34657579641511815,,
1721,66,27,True,1190,1,0.367,-27.546,1721_66_27_True_1190_1_0.36727466859958197,-28.752195358276367,1.2057045447932846
472,45,8,True,936,7,0.377,,472_45_8_True_936_7_0.37678738219812025,,
1329,249,12,True,306,3,0.415,-43.838,1329_249_12_True_306_3_0.4154755611680499,-44.90089416503906,1.0631752984561356
1332,167,8,False,194,8,0.048,-18.416,1332_167_8_False_194_8_0.047771725152331086,-20.17953872680664,1.7630413622880823
1329,220,12,True,321,3,0.449,-45.773,1329_220_12_True_321_3_0.4493191096581155,-47.372928619384766,1.5994740435369021
1329,164,12,True,246,0,0.5,10.689,1329_164_12_True_246_0_0.5,2.080236275990804,8.608804430811555
1338,53,13,True,1839,3,0.406,-23.271,1338_53_13_True_1839_3_0.40590572625044735,-23.921468098958332,0.650607105578682
641,247,12,True,696,3,0.5,-40.491,641_247_12_True_696_3_0.5,-42.64780934651693,2.156436797162985
2048,128,12,True,16,3,0.496,-43.154,2048_128_12_True_16_3_0.49577332352255077,-43.99039967854818,0.8368013763106364
2023,49,11,True,16,3,0.457,-39.044,2023_49_11_True_16_3_0.45721922259759906,-41.01678975423177,1.9724566981949425
2007,256,14,True,16,3,0.248,-43.001,2007_256_14_True_16_3_0.24800871821724724,-45.050506591796875,2.0495764328961203
162,34,25,True,2048,12,0.027,,162_34_25_True_2048_12_0.027415960315886157,,
28,98,6,True,1335,13,0.283,-21.585,28_98_6_True_1335_13_0.2827260850937743,-24.206756591796875,2.621808676297913
1252,168,19,True,16,13,0.113,-39.394,1252_168_19_True_16_13_0.11258910442555435,-42.37634785970052,2.98277062196749
2048,256,32,True,253,3,0.278,-28.074,2048_256_32_True_253_3_0.2775069279274469,-32.94503911336263,4.8709173487839195
1144,256,7,True,16,3,0.5,-34.936,1144_256_7_True_16_3_0.5,-36.63036092122396,1.6944694452195794
1259,165,32,True,84,13,0.329,-29.654,1259_165_32_True_84_13_0.3288735345827104,-36.90158144632975,7.247834019125221
1700,195,12,True,289,3,0.474,-45.746,1700_195_12_True_289_3_0.47366827208363227,-47.72153345743815,1.9752277098687756
2048,199,15,True,307,3,0.374,-38.333,2048_199_15_True_307_3_0.3744589103909165,-40.921773274739586,2.5890039512686056
215,77,21,True,634,13,0.316,,215_77_21_True_634_13_0.3155850878155108,,
2048,224,1,True,16,12,0.012,191.251,2048_224_1_True_16_12_0.011771106886272276,187.38165791829428,3.869001832053881
50,221,12,True,16,3,0.423,-44.411,50_221_12_True_16_3_0.42307409596291035,-45.130385080973305,0.7192610803486782
1958,195,19,True,16,13,0.404,-37.756,1958_195_19_True_16_13_0.403611380707142,-40.867374420166016,3.1114156843147356
1,238,5,True,321,3,0.5,-8.137,1_238_5_True_321_3_0.5,-10.967616240183512,2.830355374125518
1,166,19,True,16,13,0.0,,1_166_19_True_16_13_0.0,,
1374,236,23,True,588,13,0.327,-45.99,1374_236_23_True_588_13_0.32726168876780837,-46.909905751546226,0.9194446916707962
2048,256,32,True,16,0,0.494,,2048_256_32_True_16_0_0.4940737794135909,,
1906,101,19,True,142,13,0.209,-45.647,1906_101_19_True_142_13_0.20901825529548448,-46.462991078694664,0.8157945522159329
1809,176,17,False,16,13,0.188,-22.729,1809_176_17_False_16_13_0.1875881289853925,-23.545840581258137,0.816999512582115
1308,120,19,True,1110,11,0.168,,1308_120_19_True_1110_11_0.1680823946230682,,
1203,175,18,True,16,13,0.186,-40.075,1203_175_18_True_16_13_0.1859808600381878,-42.78895060221354,2.7141611082402397
784,256,24,True,510,13,0.415,-44.431,784_256_24_True_510_13_0.41518767034417514,-46.62631479899088,2.1950650848943614
5,228,21,True,1140,2,0.126,,5_228_21_True_1140_2_0.12594680248924447,,
695,190,23,True,669,13,0.368,-48.339,695_190_23_True_669_13_0.3684593130735659,-50.389520009358726,2.0501689235071994
1437,199,23,True,705,13,0.37,-22.797,1437_199_23_True_705_13_0.3700448714511516,-38.420680363972984,15.623710304815638
1919,128,18,True,307,13,0.171,-38.497,1919_128_18_True_307_13_0.1710515051091415,-43.99545669555664,5.498241522572576
693,198,21,True,663,13,0.181,-38.778,693_198_21_True_663_13_0.1807131274708317,-45.49307505289713,6.715153959705289
1328,250,23,True,876,13,0.306,-45.789,1328_250_23_True_876_13_0.3059248007096794,-46.822863260904946,1.034225694556819
698,193,23,True,635,13,0.491,-16.402,698_193_23_True_635_13_0.49136102313220065,-31.517358779907227,15.115511092703382
787,229,23,True,494,13,0.299,-46.05,787_229_23_True_494_13_0.2986653140856152,-48.50183614095052,2.4513691394911326
707,209,21,True,733,13,0.315,-50.61,707_209_21_True_733_13_0.3154956625954996,-52.006666819254555,1.396566914296657
828,231,22,True,697,13,0.287,-50.736,828_231_22_True_697_13_0.2870257523752782,-50.94443384806315,0.20838011750915156
145,193,14,False,16,3,0.5,-21.832,145_193_14_False_16_3_0.5,-22.98549461364746,1.1532659913791927
829,219,22,True,533,13,0.287,-50.295,829_219_22_True_533_13_0.2868364297443059,-51.25199762980143,0.9572189258406683
809,212,22,True,1224,13,0.293,-30.331,809_212_22_True_1224_13_0.29275255053506016,-36.144198735555015,5.813435186275844
298,213,17,True,16,3,0.407,-46.355,298_213_17_True_16_3_0.40737565726303404,-47.71063995361328,1.3557337552923583
1764,164,10,True,16,13,0.163,-35.191,1764_164_10_True_16_13_0.16304380317704015,-37.383612314860024,2.19284846616155
197,224,5,True,16,3,0.315,-33.561,197_224_5_True_16_3_0.315361345758959,-34.47478103637695,0.9142618721753116
2048,256,32,False,16,10,0.5,-17.74,2048_256_32_False_16_10_0.5,-19.44587008158366,1.7063441677658113
1178,256,24,True,673,13,0.298,-44.514,1178_256_24_True_673_13_0.29823797977910443,-46.88178634643555,2.367959518920851
1939,128,21,True,16,13,0.176,-40.792,1939_128_21_True_16_13_0.17594718584241129,-43.2578125,2.4659325026729704
1043,235,24,True,868,3,0.488,-37.138,1043_235_24_True_868_3_0.4883069099581695,-38.64616266886393,1.5079211473566645
1,121,4,True,1810,13,0.263,,1_121_4_True_1810_13_0.2633946926260543,,
861,216,27,True,571,13,0.293,-46.425,861_216_27_True_571_13_0.29331925668481074,-48.912776947021484,2.48752130817269
686,213,5,True,713,13,0.314,-28.393,686_213_5_True_713_13_0.31374479509040054,-29.33316993713379,0.9404829163198165
712,214,25,True,713,13,0.3,-46.077,712_214_25_True_713_13_0.29995763819123816,-49.8777707417806,3.8005529344911717
786,239,32,True,682,13,0.031,-32.475,786_239_32_True_682_13_0.03060492540963608,-34.01961135864258,1.5442729432544402
1389,228,26,True,267,13,0.262,-34.814,1389_228_26_True_267_13_0.26236451078071266,-39.770127614339195,4.955858650997322
1167,247,19,True,873,13,0.234,-44.453,1167_247_19_True_873_13_0.2335924058245786,-45.99160639444987,1.5381079416124415
254,186,32,True,16,3,0.474,-27.702,254_186_32_True_16_3_0.47412164005394225,-33.182408014933266,5.480693104678087
1248,234,8,True,639,3,0.5,-38.057,1248_234_8_True_639_3_0.5,-39.14595031738281,1.0885236852206905
1448,179,23,True,282,3,0.447,-50.835,1448_179_23_True_282_3_0.4471203863813682,-51.43395233154297,0.5994433136642701
1623,174,13,True,43,3,0.274,-49.431,1623_174_13_True_43_3_0.2735048454370493,-51.82697550455729,2.395719248290018
1403,178,19,True,220,3,0.397,-46.501,1403_178_19_True_220_3_0.39680343885627256,-49.55462519327799,3.0534441814732642
1718,181,29,True,16,3,0.242,-43.493,1718_181_29_True_16_3_0.24181226361766925,-45.80785242716471,2.3145916421947246
1785,162,1,True,99,3,0.289,189.308,1785_162_1_True_99_3_0.28915052386305307,185.47193908691406,3.8364284744251624
175,89,7,True,894,13,0.31,-22.794,175_89_7_True_894_13_0.30978186293107074,-29.65203094482422,6.858117603007333
1558,172,14,True,16,3,0.292,-48.434,1558_172_14_True_16_3_0.29163410236299747,-49.89190165201823,1.4582666091490513
287,244,10,True,16,3,0.289,-41.583,287_244_10_True_16_3_0.2893636987815947,-43.20491409301758,1.6222256641307107
