condition_size,model_nested_size,model_nested_layers,model_n_blocks,model_act_norm,model_dropout,feature_network_hidden_size,feature_network_hidden_layers,feature_network_dropout,val_loss_upper_bound,configuration_name,val_loss_mean,val_loss_std
1,16,1,4,False,0.0,16,0,0.0,-8.745,1_16_1_4_False_0.0_16_0_0.0,-10.34272321065267,1.5979122742296055
1024,352,2,8,False,0.038,30,1,0.022,-22.987,1024_352_2_8_False_0.038461538461538464_30_1_0.021739130434782608,-23.325807571411133,0.338938882739432
513,688,4,12,False,0.077,44,2,0.043,-19.189,513_688_4_12_False_0.07692307692307693_44_2_0.043478260869565216,-20.26969273885091,1.0808103097537902
1536,128,5,16,False,0.115,58,3,0.065,-27.408,1536_128_5_16_False_0.11538461538461539_58_3_0.06521739130434782,-28.21122678120931,0.802894707991284
257,464,7,20,False,0.154,72,3,0.087,-21.812,257_464_7_20_False_0.15384615384615385_72_3_0.08695652173913043,-23.13965098063151,1.3281048987085728
1280,800,1,24,False,0.192,87,4,0.109,-33.448,1280_800_1_24_False_0.19230769230769232_87_4_0.10869565217391304,-33.90728251139323,0.4592379902927201
769,240,3,28,True,0.231,101,5,0.13,-57.694,769_240_3_28_True_0.23076923076923078_101_5_0.13043478260869565,-57.98829778035482,0.29425874861709367
1792,576,4,5,True,0.269,115,6,0.152,-30.668,1792_576_4_5_True_0.2692307692307692_115_6_0.15217391304347827,-33.87255414326986,3.204773825398445
129,912,5,9,True,0.308,129,7,0.174,-16.233,129_912_5_9_True_0.3076923076923077_129_7_0.17391304347826086,-17.02869923909505,0.7954705331104647
1152,53,7,13,True,0.346,143,8,0.196,-48.787,1152_53_7_13_True_0.34615384615384615_143_8_0.1956521739130435,-49.264461517333984,0.47737934490125133
641,389,2,17,True,0.385,157,8,0.217,-49.644,641_389_2_17_True_0.38461538461538464_157_8_0.21739130434782608,-52.409674326578774,2.765668994185546
1664,725,3,21,False,0.423,171,9,0.239,-25.297,1664_725_3_21_False_0.4230769230769231_171_9_0.2391304347826087,-26.203495661417644,0.906500785076896
385,165,4,25,False,0.462,185,10,0.261,-24.538,385_165_4_25_False_0.46153846153846156_185_10_0.2608695652173913,-25.05437723795573,0.5161452629755358
1408,501,6,29,False,0.003,200,11,0.283,-9.933,1408_501_6_29_False_0.0029585798816568047_200_11_0.2826086956521739,-12.398370742797852,2.465144616164577
897,837,7,5,False,0.041,214,12,0.304,,897_837_7_5_False_0.04142011834319527_214_12_0.30434782608695654,,
1920,277,2,9,False,0.08,228,13,0.326,-16.591,1920_277_2_9_False_0.07988165680473373_228_13_0.32608695652173914,-18.104225794474285,1.5130314249815797
65,613,3,13,False,0.118,242,13,0.348,-9.483,65_613_3_13_False_0.1183431952662722_242_13_0.34782608695652173,-10.333371798197428,0.8500189949890965
1088,949,5,17,True,0.157,17,14,0.37,-14.888,1088_949_5_17_True_0.15680473372781065_17_14_0.3695652173913043,-15.765076319376627,0.8770882734838304
577,91,6,21,True,0.195,31,15,0.391,-44.546,577_91_6_21_True_0.1952662721893491_31_15_0.391304347826087,-46.3473269144694,1.8017010096416608
1600,427,7,25,True,0.234,45,0,0.413,-25.696,1600_427_7_25_True_0.23372781065088757_45_0_0.41304347826086957,-26.84372075398763,1.1473227291130839
321,763,2,29,True,0.272,59,1,0.435,,321_763_2_29_True_0.27218934911242604_59_1_0.43478260869565216,,
1344,203,4,6,True,0.311,73,2,0.457,,1344_203_4_6_True_0.31065088757396453_73_2_0.45652173913043476,,
833,539,5,10,False,0.349,87,3,0.478,-22.809,833_539_5_10_False_0.34911242603550297_87_3_0.4782608695652174,-23.162612279256184,0.35341830746945907
1856,875,6,14,False,0.388,102,3,0.001,-34.855,1856_875_6_14_False_0.38757396449704146_102_3_0.000945179584120983,-36.07966868082682,1.224925811352726
193,315,8,18,False,0.426,116,4,0.023,-32.547,193_315_8_18_False_0.4260355029585799_116_4_0.02268431001890359,-33.489935557047524,0.9432496213592901
1216,651,1,22,False,0.464,130,5,0.044,-38.046,1216_651_1_22_False_0.4644970414201184_130_5_0.0444234404536862,-38.47748565673828,0.43144203978650064
705,987,2,26,False,0.006,144,6,0.066,-24.747,705_987_2_26_False_0.005917159763313609_144_6_0.0661625708884688,-26.554288864135742,1.8077183864978303
1728,28,4,30,False,0.044,158,7,0.088,,1728_28_4_30_False_0.044378698224852076_158_7_0.08790170132325141,,
449,364,5,6,True,0.083,172,8,0.11,-25.886,449_364_5_6_True_0.08284023668639054_172_8_0.10964083175803402,-29.680232365926106,3.793821826358235
1472,700,7,10,True,0.121,186,8,0.131,,1472_700_7_10_True_0.121301775147929_186_8_0.13137996219281664,,
1038,484,5,32,True,0.319,97,5,0.125,-50.803,1038_484_5_32_True_0.3185052316747453_97_5_0.1254495493226791,-53.2231330871582,2.4203239252162403
1114,16,7,12,True,0.466,116,8,0.221,-45.762,1114_16_7_12_True_0.4660266908236649_116_8_0.22108251877988105,-47.01718266805013,1.255269508369228
687,43,2,27,False,0.245,255,5,0.006,-24.291,687_43_2_27_False_0.2451462559105568_255_5_0.005610067246194244,-24.669522603352863,0.3785970631829703
647,454,4,8,True,0.378,137,5,0.046,-51.001,647_454_4_8_True_0.3782863976628617_137_5_0.04587995414811567,-52.79358037312826,1.7924131241740313
865,225,2,11,True,0.331,158,8,0.217,-51.151,865_225_2_11_True_0.33062180296085203_158_8_0.21679833208885846,-54.30900319417318,3.1584857833277713
444,606,6,21,True,0.309,16,5,0.223,-30.34,444_606_6_21_True_0.30939142463575287_16_5_0.22294295530791616,-32.26685333251953,1.9269330400169475
799,940,3,9,True,0.239,16,5,0.034,-31.973,799_940_3_9_True_0.23916246209629496_16_5_0.03416368508813419,-33.405293782552086,1.4326629915400493
1081,63,2,16,True,0.142,246,5,0.214,,1081_63_2_16_True_0.14204371499699361_246_5_0.21354488443379271,,
840,160,5,16,True,0.342,111,8,0.147,-50.276,840_160_5_16_True_0.3417918365859235_111_8_0.14663712554912453,-50.77203877766927,0.49648240093507817
887,519,4,20,False,0.415,149,3,0.167,-30.724,887_519_4_20_False_0.4145523853947885_149_3_0.16718594832856915,-31.50208028157552,0.7780858430056742
607,610,1,32,True,0.255,121,9,0.067,-53.342,607_610_1_32_True_0.2554765796331638_121_9_0.06715350009995424,-54.78642018636068,1.44432125879203
1814,966,3,23,False,0.196,26,0,0.323,-14.716,1814_966_3_23_False_0.1959401327740716_26_0_0.3234019526035139,-15.481130599975586,0.7650565286706701
816,42,2,30,True,0.239,57,11,0.131,-47.005,816_42_2_30_True_0.23928400154047152_57_11_0.13069238574707562,-47.636739095052086,0.6316854366819644
783,593,5,15,True,0.335,102,15,0.262,-34.859,783_593_5_15_True_0.3354427413306464_102_15_0.2624560606067933,-37.429482777913414,2.57062038550362
858,63,6,6,False,0.437,158,12,0.155,1.794,858_63_6_6_False_0.43743533429615306_158_12_0.15500850176259212,1.1261604527632396,0.6682104155171316
654,399,1,21,True,0.31,133,0,0.151,,654_399_1_21_True_0.3101814139124061_133_0_0.15078261376275773,,
692,118,6,32,True,0.291,99,5,0.181,-54.859,692_118_6_32_True_0.2911901888736165_99_5_0.18109226642902154,-56.08569208780924,1.2270589532074903
670,159,2,26,False,0.258,100,5,0.108,-33.889,670_159_2_26_False_0.2580035985736241_100_5_0.10767250309604381,-34.62397257486979,0.734693223378689
1071,421,7,4,True,0.03,96,9,0.271,-22.287,1071_421_7_4_True_0.030223690313472076_96_9_0.2712247203424773,-22.668941497802734,0.3824160417623998
1769,341,4,4,True,0.003,144,9,0.092,-23.111,1769_341_4_4_True_0.0029826180141492645_144_9_0.09161454814941586,-23.216147740681965,0.10534739227408155
1,16,1,6,True,0.49,145,8,0.082,-42.867,1_16_1_6_True_0.4900424342813501_145_8_0.08243253399508058,-43.95233408610026,1.0854824481406642
668,16,1,28,True,0.399,143,8,0.355,-47.517,668_16_1_28_True_0.39873247366218206_143_8_0.3550640232042727,-49.122599283854164,1.605383471182289
503,56,7,29,True,0.5,116,5,0.454,-49.033,503_56_7_29_True_0.5_116_5_0.4535829822192074,-50.20366923014323,1.1706971696273636
1135,319,5,17,True,0.256,60,15,0.281,-44.9,1135_319_5_17_True_0.2558743693861328_60_15_0.2811544900992866,-45.4500363667806,0.5502415098739384
515,824,7,23,True,0.228,45,16,0.438,-8.248,515_824_7_23_True_0.22821280868499866_45_16_0.43817982695157215,-14.170304934183756,5.922287980771881
49,821,7,19,True,0.298,68,14,0.379,-14.322,49_821_7_19_True_0.29751942342165666_68_14_0.3785829632033095,-15.0515775680542,0.7297787396956573
282,45,4,5,True,0.0,140,4,0.016,-29.482,282_45_4_5_True_0.0_140_4_0.01585375287819108,-30.88636080423991,1.403958777809854
470,135,4,23,True,0.466,32,11,0.171,-45.082,470_135_4_23_True_0.46579253999060494_32_11_0.17061046849815106,-46.629353841145836,1.5472981484485344
15,42,5,25,True,0.0,43,10,0.14,-42.725,15_42_5_25_True_0.0_43_10_0.13977936851330536,-44.358436584472656,1.6333988735795821
915,354,1,16,False,0.06,224,14,0.049,-18.648,915_354_1_16_False_0.06017279114496344_224_14_0.0493097204962204,-20.143449147542317,1.4958784430899206
992,25,8,27,True,0.0,87,7,0.322,-45.612,992_25_8_27_True_0.0_87_7_0.3220522680512488,-46.79534657796224,1.1834913252003327
836,191,7,21,True,0.0,159,5,0.379,-33.701,836_191_7_21_True_0.0_159_5_0.37867605407596466,-36.90447870890299,3.2039702592887362
236,168,7,19,True,0.0,76,7,0.269,-50.277,236_168_7_19_True_0.0_76_7_0.2690183822722158,-52.12128575642904,1.8442860343001468
1,657,1,32,True,0.0,62,7,0.38,,1_657_1_32_True_0.0_62_7_0.37963881520371445,,
1411,16,6,23,True,0.35,115,11,0.001,-50.445,1411_16_6_23_True_0.3496986851458296_115_11_0.0010641263107296934,-51.27998733520508,0.8347809053189987
756,16,5,32,True,0.105,148,8,0.497,-49.161,756_16_5_32_True_0.10481498527421296_148_8_0.49711776274068753,-49.47771708170573,0.31633121408303316
912,290,6,18,True,0.148,137,7,0.5,,912_290_6_18_True_0.1478576853436927_137_7_0.5,,
288,16,2,23,True,0.071,114,9,0.359,,288_16_2_23_True_0.07146908809713125_114_9_0.3589314349977031,,
1241,129,3,32,True,0.262,67,7,0.175,-50.055,1241_129_3_32_True_0.2615379899589816_67_7_0.1750433289775834,-50.94950866699219,0.8944962417751237
1360,526,5,26,True,0.407,212,7,0.111,-59.355,1360_526_5_26_True_0.40716830340399_212_7_0.1111111092415964,-61.326717376708984,1.9720065707592969
1926,16,4,4,True,0.421,31,7,0.373,,1926_16_4_4_True_0.42146196193543_31_7_0.37282560396772735,,
454,16,3,27,True,0.279,130,8,0.061,-49.833,454_16_3_27_True_0.2785101564800291_130_8_0.06050858649693207,-50.210619608561196,0.3778847194905762
1384,688,2,10,True,0.385,148,12,0.164,-48.436,1384_688_2_10_True_0.38472857271995425_148_12_0.16426949740869176,-49.231990814208984,0.7955689172516105
870,16,6,32,True,0.171,35,13,0.297,-47.001,870_16_6_32_True_0.17074559613124404_35_13_0.2972327382426914,-48.06094614664713,1.059748093874907
1714,16,4,32,True,0.209,130,5,0.031,-58.228,1714_16_4_32_True_0.20937046205957166_130_5_0.03112423923723256,-58.63876088460287,0.41116419838982016
1338,37,1,26,True,0.357,134,11,0.131,-44.305,1338_37_1_26_True_0.3569112350823529_134_11_0.13053709225667495,-48.74931716918945,4.443830026250243
754,16,7,25,True,0.418,177,9,0.162,-45.704,754_16_7_25_True_0.4179158536364463_177_9_0.16244829795030163,-48.44323603312174,2.739113801578855
1428,16,1,29,True,0.485,129,12,0.32,-47.864,1428_16_1_29_True_0.4850070039654971_129_12_0.3203506040603019,-48.92581431070963,1.0614907596568115
232,16,6,32,True,0.0,58,7,0.294,-44.792,232_16_6_32_True_0.0_58_7_0.29421184572082987,-46.11439641316732,1.322202894819088
1471,16,5,27,True,0.31,68,12,0.132,-43.622,1471_16_5_27_True_0.31009301621692753_68_12_0.13168750338761154,-45.70286560058594,2.0808926168475006
818,16,5,17,True,0.463,26,8,0.028,-47.522,818_16_5_17_True_0.4629778835466877_26_8_0.02844269256236469,-48.5439567565918,1.0224543261071366
1566,169,4,13,True,0.332,252,7,0.0,-39.78,1566_169_4_13_True_0.3318255607715708_252_7_0.0,-42.710192362467446,2.930054897061055
596,16,8,32,True,0.412,59,2,0.311,-51.4,596_16_8_32_True_0.4122222758133952_59_2_0.31134209387537626,-52.311354319254555,0.9116104817326862
1238,1014,3,32,True,0.216,66,6,0.095,-29.347,1238_1014_3_32_True_0.21608514311125723_66_6_0.09457346758535462,-30.519354502360027,1.1720307733835877
